"FAT_YEARMONTH","FAT_DAY","FAT_TIME","FATALITY_ID","EVENT_ID","FATALITY_TYPE","FATALITY_DATE","FATALITY_AGE","FATALITY_SEX","FATALITY_LOCATION","EVENT_YEARMONTH"
199707,28,0,1002047,5612612,"D","07/28/1997 12:00:00",56,"M","Long Span Roof",199707
199707,31,0,1002048,5611496,"D","07/31/1997 12:00:00",38,"F","Outside/Open Areas",199707
199707,2,0,1002052,5609740,"D","07/02/1997 12:00:00",32,"M","Heavy Equipment/Construction",199707
199707,23,0,1002053,5610111,"D","07/23/1997 12:00:00",50,"M","Vehicle/Towed Trailer",199707
199707,24,0,1002054,5610806,"D","07/24/1997 12:00:00",21,"M","Outside/Open Areas",199707
199708,20,0,1002283,5623774,"D","08/20/1997 12:00:00",12,"F","Camping",199708
199708,12,0,1002284,5623784,"D","08/12/1997 12:00:00",19,"M","Camping",199708
199708,20,0,1002285,5623789,"D","08/20/1997 12:00:00",12,"F","Camping",199708
199708,16,0,1002184,5617455,"D","08/16/1997 12:00:00",29,"M","Boat",199708
199708,16,0,1002185,5617455,"D","08/16/1997 12:00:00",28,"F","Boat",199708
199708,12,0,1002193,5617433,"D","08/12/1997 12:00:00",60,"M","In Water",199708
199708,17,0,1002206,5621603,"D","08/17/1997 12:00:00",88,"M","Permanent Home",199708
199708,17,0,1002207,5621603,"D","08/17/1997 12:00:00",53,"F","Permanent Home",199708
199705,27,0,1001922,5598913,"D","05/27/1997 12:00:00",15,"M","Permanent Home",199705
199705,27,0,1001923,5598913,"D","05/27/1997 12:00:00",15,"M","Permanent Home",199705
199705,27,0,1001924,5598913,"D","05/27/1997 12:00:00",41,"M","Permanent Home",199705
199705,27,0,1001925,5598913,"D","05/27/1997 12:00:00",40,"F","Permanent Home",199705
199705,27,0,1001926,5598913,"D","05/27/1997 12:00:00",40,"M","Permanent Home",199705
199705,27,0,1001927,5598913,"D","05/27/1997 12:00:00",40,"F","Permanent Home",199705
199705,27,0,1001928,5598913,"D","05/27/1997 12:00:00",16,"M","Permanent Home",199705
199705,27,0,1001929,5598913,"D","05/27/1997 12:00:00",15,"F","Permanent Home",199705
199705,27,0,1001930,5598913,"D","05/27/1997 12:00:00",44,"F","Permanent Home",199705
199705,27,0,1001931,5598913,"D","05/27/1997 12:00:00",5,"M","Permanent Home",199705
199705,27,0,1001932,5598913,"D","05/27/1997 12:00:00",22,"M","Permanent Home",199705
199705,27,0,1001933,5598913,"D","05/27/1997 12:00:00",50,"F","Permanent Home",199705
199705,27,0,1001934,5598913,"D","05/27/1997 12:00:00",15,"M","Permanent Home",199705
199705,27,0,1001935,5598913,"D","05/27/1997 12:00:00",14,"M","Permanent Home",199705
199705,27,0,1001936,5598913,"D","05/27/1997 12:00:00",36,"F","Permanent Home",199705
199705,27,0,1001937,5598913,"D","05/27/1997 12:00:00",13,"F","Permanent Home",199705
199705,27,0,1001938,5598913,"D","05/27/1997 12:00:00",10,"F","Permanent Home",199705
199701,6,0,1002121,5613450,"D","01/06/1997 12:00:00",77,"M","Vehicle/Towed Trailer",199701
199701,6,0,1002122,5613450,"D","01/06/1997 12:00:00",18,"F","Vehicle/Towed Trailer",199701
199701,6,0,1002123,5613450,"D","01/06/1997 12:00:00",73,"F","Vehicle/Towed Trailer",199701
199701,10,0,1002137,5614191,"D","01/10/1997 12:00:00",87,"M","Outside/Open Areas",199701
199701,16,0,1002056,5610900,"D","01/16/1997 12:00:00",19,"M","Long Span Roof",199701
199701,19,0,1002057,5610901,"D","01/19/1997 12:00:00",40,"M","Outside/Open Areas",199701
199701,22,0,1002058,5610902,"D","01/22/1997 12:00:00",63,"M","Vehicle/Towed Trailer",199701
199701,4,0,1001710,5587057,"D","01/04/1997 12:00:00",39,"M","Mobile/Trailer Home",199701
199701,17,0,1001711,5586451,"D","01/17/1997 12:00:00",33,"M","Outside/Open Areas",199701
199701,12,0,1001712,5586462,"D","01/12/1997 12:00:00",41,"M","Outside/Open Areas",199701
199701,4,0,1001713,5586468,"D","01/04/1997 12:00:00",18,"M","Vehicle/Towed Trailer",199701
199701,10,0,1001714,5586676,"D","01/10/1997 12:00:00",40,"F","Vehicle/Towed Trailer",199701
199701,10,0,1001715,5586703,"D","01/10/1997 12:00:00",57,"M","Outside/Open Areas",199701
199701,11,0,1001716,5587132,"D","01/11/1997 12:00:00",66,"M","Permanent Home",199701
199701,10,0,1001717,5587145,"D","01/10/1997 12:00:00",41,"M","Outside/Open Areas",199701
199701,15,0,1001718,5587356,"D","01/15/1997 12:00:00",71,"M","Permanent Home",199701
199701,15,0,1001719,5587356,"D","01/15/1997 12:00:00",57,"M","Permanent Home",199701
199701,21,0,1001720,5584768,"D","01/21/1997 12:00:00",63,"M","Outside/Open Areas",199701
199701,18,0,1001721,5584769,"D","01/18/1997 12:00:00",64,"M","Permanent Home",199701
199701,17,0,1001722,5584769,"D","01/17/1997 12:00:00",50,"M","Outside/Open Areas",199701
199701,15,0,1001723,5584770,"D","01/15/1997 12:00:00",37,"M","Outside/Open Areas",199701
199701,17,0,1001853,5596484,"D","01/17/1997 12:00:00",75,"M","Permanent Home",199701
199701,18,0,1001855,5596484,"D","01/18/1997 12:00:00",48,"M","Outside/Open Areas",199701
199701,17,0,1001904,5600575,"D","01/17/1997 12:00:00",69,"M","Vehicle/Towed Trailer",199701
199701,21,0,1001908,5599313,"D","01/21/1997 12:00:00",33,"M","Vehicle/Towed Trailer",199701
199701,12,0,1001909,5599744,"D","01/12/1997 12:00:00",29,"M","Other",199701
199701,12,0,1001910,5599744,"D","01/12/1997 12:00:00",36,"M","Other",199701
199701,12,0,1001911,5599744,"D","01/12/1997 12:00:00",38,"M","Other",199701
199701,25,0,1001912,5599773,"D","01/25/1997 12:00:00",27,"M","Other",199701
199702,26,0,1001745,5584857,"D","02/26/1997 12:00:00",2,"F","In Water",199702
199702,12,0,1001787,5590118,"D","02/12/1997 12:00:00",36,"M","Boat",199702
199702,12,0,1001788,5590118,"D","02/12/1997 12:00:00",24,"M","Boat",199702
199702,12,0,1001789,5590118,"D","02/12/1997 12:00:00",22,"M","Boat",199702
199702,20,0,1001796,5587882,"D","02/20/1997 12:00:00",61,"M","Boat",199702
199702,20,0,1001797,5587882,"D","02/20/1997 12:00:00",68,"M","Boat",199702
199702,27,0,1001798,5588349,"D","02/27/1997 12:00:00",23,"M","Vehicle/Towed Trailer",199702
199702,22,0,1001799,5588359,"D","02/22/1997 12:00:00",54,"M","Vehicle/Towed Trailer",199702
199702,21,0,1001800,5589915,"D","02/21/1997 12:00:00",63,"F","Vehicle/Towed Trailer",199702
199702,21,0,1001804,5590889,"D","02/21/1997 12:00:00",24,"F","Vehicle/Towed Trailer",199702
199702,19,0,1001805,5587905,"D","02/19/1997 12:00:00",50,"M","Outside/Open Areas",199702
199702,19,0,1001806,5587921,"D","02/19/1997 12:00:00",2,"M","Vehicle/Towed Trailer",199702
199702,20,0,1001811,5589340,"D","02/20/1997 12:00:00",38,"F","Mobile/Trailer Home",199702
199702,13,0,1002272,5626830,"D","02/13/1997 12:00:00",28,"M","In Water",199702
199702,27,0,1002059,5610903,"D","02/27/1997 12:00:00",NA,"","Vehicle/Towed Trailer",199702
199702,21,0,1001724,5584987,"D","02/21/1997 12:00:00",60,"M","In Water",199702
199703,31,0,1001959,5602682,"D","03/31/1997 12:00:00",58,"F","Vehicle/Towed Trailer",199703
199703,12,0,1001960,5601952,"D","03/12/1997 12:00:00",31,"M","Vehicle/Towed Trailer",199703
199703,31,0,1001957,5602673,"D","03/31/1997 12:00:00",56,"F","Vehicle/Towed Trailer",199703
199703,1,0,1002309,5623726,"D","03/01/1997 12:00:00",13,"F","Mobile/Trailer Home",199703
199703,29,0,1001808,5588374,"D","03/29/1997 12:00:00",41,"F","Vehicle/Towed Trailer",199703
